#model:pConst	end_point_b=1.00
#t	l_1	l_2	l_3	l_2-l_1	l_3-l_1	phase_1	phase_2	phase_3	RePsi_1	RePsi_2	RePsi_3	ImPsi_1	ImPsi_2	ImPsi_3
0.118257	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-1.133566	-1.151580	-0.871776	-0.328508	-0.238560	-0.684786	0.153545	0.106310	0.575641
0.118386	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-1.049887	-1.072416	-0.809642	-0.313099	-0.228083	-0.648519	0.179647	0.124123	0.617812
0.118514	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-0.966030	-0.992991	-0.747512	-0.295749	-0.216281	-0.609596	0.204409	0.141023	0.657630
0.118643	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-0.882022	-0.913296	-0.685385	-0.276568	-0.203230	-0.568174	0.227693	0.156915	0.694924
0.118771	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-0.797890	-0.833321	-0.623261	-0.255674	-0.189010	-0.524422	0.249365	0.171710	0.729535
0.118900	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-0.713664	-0.753060	-0.561141	-0.233196	-0.173708	-0.478516	0.269304	0.185322	0.761314
0.119029	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-0.629372	-0.672506	-0.499023	-0.209270	-0.157418	-0.430645	0.287398	0.197676	0.790125
0.119157	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-0.545042	-0.591653	-0.436908	-0.184040	-0.140238	-0.381006	0.303543	0.208702	0.815844
0.119286	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-0.460703	-0.510498	-0.374794	-0.157658	-0.122272	-0.329802	0.317650	0.218338	0.838362
0.119414	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-0.376384	-0.429039	-0.312682	-0.130281	-0.103627	-0.277245	0.329638	0.226529	0.857582
0.119543	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-0.292111	-0.347275	-0.250571	-0.102074	-0.084416	-0.223552	0.339439	0.233229	0.873421
0.119671	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-0.207911	-0.265209	-0.188461	-0.073203	-0.064751	-0.168946	0.346998	0.238399	0.885813
0.119800	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-0.123810	-0.182844	-0.126351	-0.043839	-0.044750	-0.113652	0.352272	0.242012	0.894703
0.119929	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-0.039833	-0.100188	-0.064242	-0.014157	-0.024532	-0.057901	0.355231	0.244045	0.900054
0.120057	-503.281098	-325.293084	828.574181	177.988014	1331.855279	0.043998	-0.017248	-0.002132	0.015667	-0.004217	-0.001923	0.355857	0.244487	0.901845
0.120186	-503.281098	-325.293084	828.574181	177.988014	1331.855279	0.127661	0.065964	0.059978	0.045458	0.016075	0.054049	0.354146	0.243335	0.900068
0.120314	-503.281098	-325.293084	828.574181	177.988014	1331.855279	0.211135	0.149434	0.122089	0.075038	0.036223	0.109783	0.350107	0.240596	0.894731
0.120443	-503.281098	-325.293084	828.574181	177.988014	1331.855279	0.294404	0.233145	0.184201	0.104233	0.056109	0.165047	0.343761	0.236283	0.885859
0.120571	-503.281098	-325.293084	828.574181	177.988014	1331.855279	0.377449	0.317078	0.246315	0.132870	0.075613	0.219613	0.335143	0.230421	0.873490
0.120700	-503.281098	-325.293084	828.574181	177.988014	1331.855279	0.460257	0.401211	0.308431	0.160778	0.094619	0.273255	0.324300	0.223041	0.857678
0.120829	-503.281098	-325.293084	828.574181	177.988014	1331.855279	0.542813	0.485519	0.370549	0.187790	0.113014	0.325750	0.311292	0.214186	0.838494
0.120957	-503.281098	-325.293084	828.574181	177.988014	1331.855279	0.625108	0.569975	0.432669	0.213745	0.130688	0.376883	0.296191	0.203903	0.816019
0.121086	-503.281098	-325.293084	828.574181	177.988014	1331.855279	0.707131	0.654550	0.494793	0.238488	0.147534	0.426443	0.279080	0.192249	0.790353
0.121214	-503.281098	-325.293084	828.574181	177.988014	1331.855279	0.788874	0.739213	0.556920	0.261869	0.163450	0.474227	0.260055	0.179291	0.761606
