#model:pLinear_up	end_point_b=0.20
#t	l_1	l_2	l_3	l_2-l_1	l_3-l_1	phase_1	phase_2	phase_3	RePsi_1	RePsi_2	RePsi_3	ImPsi_1	ImPsi_2	ImPsi_3
0.101073	-1687.246096	-1575.398113	3262.644209	111.847983	4949.890305	1.669957	1.812238	-0.062589	0.815747	0.534774	-0.009819	-0.081156	-0.131686	0.156683
0.101091	-1687.252961	-1575.403598	3262.656559	111.849363	4949.909521	1.671646	1.816320	0.016304	0.815582	0.534342	0.002555	-0.082531	-0.133895	0.156714
0.101109	-1687.259827	-1575.409083	3262.668909	111.850744	4949.928736	1.673338	1.820405	0.095321	0.815412	0.533903	0.014893	-0.083908	-0.136105	0.155767
0.101127	-1687.266692	-1575.414567	3262.681260	111.852125	4949.947952	1.675033	1.824492	0.174464	0.815239	0.533456	0.027117	-0.085287	-0.138315	0.153847
0.101145	-1687.273558	-1575.420051	3262.693610	111.853507	4949.967168	1.676731	1.828581	0.253735	0.815063	0.533001	0.039149	-0.086668	-0.140526	0.150967
0.101164	-1687.280424	-1575.425535	3262.705960	111.854889	4949.986384	1.678433	1.832673	0.333132	0.814882	0.532538	0.050916	-0.088052	-0.142737	0.147144
0.101182	-1687.287290	-1575.431019	3262.718309	111.856271	4950.005600	1.680138	1.836767	0.412656	0.814697	0.532067	0.062343	-0.089437	-0.144949	0.142403
0.101200	-1687.294157	-1575.436503	3262.730659	111.857654	4950.024816	1.681847	1.840864	0.492305	0.814507	0.531587	0.073359	-0.090825	-0.147160	0.136773
0.101218	-1687.301023	-1575.441986	3262.743009	111.859037	4950.044032	1.683558	1.844964	0.572077	0.814313	0.531099	0.083894	-0.092214	-0.149372	0.130290
0.101236	-1687.307890	-1575.447469	3262.755359	111.860421	4950.063249	1.685272	1.849066	0.651967	0.814113	0.530602	0.093883	-0.093606	-0.151583	0.122994
0.101255	-1687.314757	-1575.452952	3262.767709	111.861805	4950.082465	1.686989	1.853169	0.731974	0.813909	0.530097	0.103263	-0.094998	-0.153795	0.114931
0.101273	-1687.321624	-1575.458435	3262.780059	111.863189	4950.101682	1.688709	1.857276	0.812092	0.813699	0.529582	0.111975	-0.096393	-0.156006	0.106151
0.101291	-1687.328491	-1575.463917	3262.792408	111.864574	4950.120899	1.690431	1.861384	0.892315	0.813485	0.529059	0.119965	-0.097788	-0.158216	0.096710
